record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,genus,species,taxa,plot_type,date
845,5,6,1978,2,NL,M,32,204,Neotoma,albigula,Rodent,Control,1978-05-06
1164,8,5,1978,2,NL,M,34,199,Neotoma,albigula,Rodent,Control,1978-08-05
1261,9,4,1978,2,NL,M,32,197,Neotoma,albigula,Rodent,Control,1978-09-04
1756,4,29,1979,2,NL,M,33,166,Neotoma,albigula,Rodent,Control,1979-04-29
1818,5,30,1979,2,NL,M,32,184,Neotoma,albigula,Rodent,Control,1979-05-30
1882,7,4,1979,2,NL,M,32,206,Neotoma,albigula,Rodent,Control,1979-07-04
2133,10,25,1979,2,NL,F,33,274,Neotoma,albigula,Rodent,Control,1979-10-25
2184,11,17,1979,2,NL,F,30,186,Neotoma,albigula,Rodent,Control,1979-11-17
2406,1,16,1980,2,NL,F,33,184,Neotoma,albigula,Rodent,Control,1980-01-16
3000,5,18,1980,2,NL,F,31,87,Neotoma,albigula,Rodent,Control,1980-05-18
3002,5,18,1980,2,NL,F,33,174,Neotoma,albigula,Rodent,Control,1980-05-18
4667,7,8,1981,2,NL,F,30,130,Neotoma,albigula,Rodent,Control,1981-07-08
4859,10,1,1981,2,NL,M,34,208,Neotoma,albigula,Rodent,Control,1981-10-01
5048,11,23,1981,2,NL,M,34,192,Neotoma,albigula,Rodent,Control,1981-11-23
5299,1,25,1982,2,NL,F,32,165,Neotoma,albigula,Rodent,Control,1982-01-25
5485,2,24,1982,2,NL,M,34,202,Neotoma,albigula,Rodent,Control,1982-02-24
5558,3,29,1982,2,NL,M,33,211,Neotoma,albigula,Rodent,Control,1982-03-29
5583,3,29,1982,2,NL,M,31,120,Neotoma,albigula,Rodent,Control,1982-03-29
5966,5,22,1982,2,NL,F,32,40,Neotoma,albigula,Rodent,Control,1982-05-22
6020,6,28,1982,2,NL,M,33,222,Neotoma,albigula,Rodent,Control,1982-06-28
6023,6,28,1982,2,NL,F,30,100,Neotoma,albigula,Rodent,Control,1982-06-28
6036,6,28,1982,2,NL,F,33,120,Neotoma,albigula,Rodent,Control,1982-06-28
6479,8,16,1982,2,NL,F,31,112,Neotoma,albigula,Rodent,Control,1982-08-16
6500,8,16,1982,2,NL,F,33,152,Neotoma,albigula,Rodent,Control,1982-08-16
