"var_001","var_002","vp_id","var_003","var_004","var_005","var_006","var_007","var_008"
"sad","item1",3,"19/12/17","D",80,171,7,3
"sad","item2",3,"19/12/17","D",71,173,7,3
"sad","item3",3,"19/12/17","D",83,210,6,3
"sad","item4",3,"19/12/17","D",69,197,7,3
"sad","item5",3,"19/12/17","D",59,167,7,3
"sad","item6",3,"19/12/17","D",83,180,7,3
"sad","item7",3,"19/12/17","D",72,191,6,3
"sad","item8",3,"19/12/17","D",74,201,7,3
"sad","item9",3,"19/12/17","D",76,182,7,2
"sad","item10",3,"19/12/17","D",65,182,7,2
"sad","item11",3,"19/12/17","D",65,176,7,3
"sad","item12",3,"19/12/17","D",73,181,7,3
"sad","item13",3,"19/12/17","D",60,171,7,3
"sad","item14",3,"19/12/17","D",81,166,7,2
"sad","item15",3,"19/12/17","D",65,181,7,3
"sad","item16",3,"19/12/17","D",75,167,7,3
"sad","item17",3,"19/12/17","D",72,168,7,3
"sad","item18",3,"19/12/17","D",85,207,7,3
"sad","item19",3,"19/12/17","D",86,198,7,3
"sad","item20",3,"19/12/17","D",65,189,7,3
"sad","item21",3,"19/12/17","D",68,188,7,3
"sad","item22",3,"19/12/17","D",86,167,7,3
"sad","item23",3,"19/12/17","D",87,211,7,3
"sad","item24",3,"19/12/17","D",104,180,6,3
"sad","item25",3,"19/12/17","D",67,180,7,3
"sad","item26",3,"19/12/17","D",97,166,7,3
"sad","item27",3,"19/12/17","D",73,175,7,3
"sad","item28",3,"19/12/17","D",54,182,7,3
"sad","item29",3,"19/12/17","D",69,184,7,3
"sad","item30",3,"19/12/17","D",67,168,7,3
"sad","item31",3,"19/12/17","D",63,170,7,3
"sad","item32",3,"19/12/17","D",96,179,7,3
"happy","item33",3,"19/12/17","D",111,206,6,5
"happy","item34",3,"19/12/17","D",81,195,7,5
"happy","item35",3,"19/12/17","D",82,217,7,5
"happy","item36",3,"19/12/17","D",93,200,7,5
"happy","item37",3,"19/12/17","D",88,220,6,5
"happy","item38",3,"19/12/17","D",90,205,7,5
"happy","item39",3,"19/12/17","D",109,201,6,5
"happy","item40",3,"19/12/17","D",94,213,6,5
"happy","item41",3,"19/12/17","D",83,219,6,5
"happy","item42",3,"19/12/17","D",98,218,6,5
"happy","item43",3,"19/12/17","D",107,218,6,5
"happy","item44",3,"19/12/17","D",94,211,7,5
"happy","item45",3,"19/12/17","D",107,209,6,5
"happy","item46",3,"19/12/17","D",92,201,6,5
"happy","item47",3,"19/12/17","D",86,203,7,5
"happy","item48",3,"19/12/17","D",107,208,6,5
"happy","item49",3,"19/12/17","D",98,198,7,5
"happy","item50",3,"19/12/17","D",97,219,7,5
"happy","item51",3,"19/12/17","D",78,203,7,5
"happy","item52",3,"19/12/17","D",100,186,7,5
"happy","item53",3,"19/12/17","D",89,209,6,5
"happy","item54",3,"19/12/17","D",87,181,7,5
"happy","item55",3,"19/12/17","D",100,206,7,5
"happy","item56",3,"19/12/17","D",77,224,7,5
"happy","item57",3,"19/12/17","D",101,223,6,5
"happy","item58",3,"19/12/17","D",95,220,7,5
"happy","item59",3,"19/12/17","D",91,206,6,5
"happy","item60",3,"19/12/17","D",87,210,7,5
"happy","item61",3,"19/12/17","D",97,198,6,5
"happy","item62",3,"19/12/17","D",76,209,6,6
"happy","item63",3,"19/12/17","D",98,217,6,5
"happy","item64",3,"19/12/17","D",92,213,7,6
